Sequence,RES_OCC_SCH,RES_LIGHT_SCH,RES_EQP_SCH
246,1,0.394,0.43
247,1,0.44,0.54
248,0.85,0.393,0.65
249,0.39,0.172,0.66
250,0.25,0.119,0.67
251,0.25,0.119,0.69
252,0.25,0.119,0.7
253,0.25,0.119,0.69
254,0.25,0.119,0.66
255,0.25,0.119,0.65
256,0.25,0.206,0.68
257,0.3,0.439,0.8
258,0.52,0.616,1
259,0.87,0.829,1
260,0.87,0.986,0.93
261,0.87,1,0.89
262,1,0.692,0.85
263,1,0.384,0.71
264,1,0.16,0.58
265,1,0.067,0.45
266,1,0.067,0.41
267,1,0.067,0.39
268,1,0.067,0.38
269,1,0.187,0.38
270,1,0.394,0.43
271,1,0.44,0.54
272,0.85,0.393,0.65
273,0.39,0.172,0.66
274,0.25,0.119,0.67
275,0.25,0.119,0.69
276,0.25,0.119,0.7
277,0.25,0.119,0.69
278,0.25,0.119,0.66
279,0.25,0.119,0.65
280,0.25,0.206,0.68
281,0.3,0.439,0.8
282,0.52,0.616,1
283,0.87,0.829,1
284,0.87,0.986,0.93
285,0.87,1,0.89
286,1,0.692,0.85
287,1,0.384,0.71
288,1,0.16,0.58
289,1,0.067,0.45
290,1,0.067,0.41
291,1,0.067,0.39
292,1,0.067,0.38
293,1,0.187,0.38
294,1,0.394,0.43
295,1,0.44,0.54
296,0.85,0.393,0.65
297,0.39,0.172,0.66
298,0.25,0.119,0.67
299,0.25,0.119,0.69
300,0.25,0.119,0.7
301,0.25,0.119,0.69
302,0.25,0.119,0.66
303,0.25,0.119,0.65
304,0.25,0.206,0.68
305,0.3,0.439,0.8
306,0.52,0.616,1
307,0.87,0.829,1
308,0.87,0.986,0.93
309,0.87,1,0.89
310,1,0.692,0.85
311,1,0.384,0.71
312,1,0.16,0.58
313,1,0.067,0.45
314,1,0.067,0.41
315,1,0.067,0.39
316,1,0.067,0.38
317,1,0.187,0.38
318,1,0.394,0.43
319,1,0.44,0.54
320,0.85,0.393,0.65
321,0.39,0.172,0.66
322,0.25,0.119,0.67
323,0.25,0.119,0.69
324,0.25,0.119,0.7
325,0.25,0.119,0.69
326,0.25,0.119,0.66
327,0.25,0.119,0.65
328,0.25,0.206,0.68
329,0.3,0.439,0.8
330,0.52,0.616,1
331,0.87,0.829,1
332,0.87,0.986,0.93
333,0.87,1,0.89
334,1,0.692,0.85
335,1,0.384,0.71
336,1,0.16,0.58
337,1,0.067,0.45
338,1,0.067,0.41
339,1,0.067,0.39
340,1,0.067,0.38
341,1,0.187,0.38
342,1,0.394,0.43
343,1,0.44,0.54
344,0.85,0.393,0.65
345,0.39,0.172,0.66
346,0.25,0.119,0.67
347,0.25,0.119,0.69
348,0.25,0.119,0.7
349,0.25,0.119,0.69
350,0.25,0.119,0.66
351,0.25,0.119,0.65
352,0.25,0.206,0.68
353,0.3,0.439,0.8
354,0.52,0.616,1
355,0.87,0.829,1
356,0.87,0.986,0.93
357,0.87,1,0.89
358,1,0.692,0.85
359,1,0.384,0.71
360,1,0.16,0.58
361,1,0.067,0.45
362,1,0.067,0.41
363,1,0.067,0.39
364,1,0.067,0.38
365,1,0.187,0.38
366,1,0.394,0.43
367,1,0.44,0.54
368,0.85,0.393,0.65
369,0.39,0.172,0.66
370,0.25,0.119,0.67
371,0.25,0.119,0.69
372,0.25,0.119,0.7
373,0.25,0.119,0.69
374,0.25,0.119,0.66
375,0.25,0.119,0.65
376,0.25,0.206,0.68
377,0.3,0.439,0.8
378,0.52,0.616,1
379,0.87,0.829,1
380,0.87,0.986,0.93
381,0.87,1,0.89
382,1,0.692,0.85
383,1,0.384,0.71
384,1,0.16,0.58
385,1,0.067,0.45
386,1,0.067,0.41
387,1,0.067,0.39
388,1,0.067,0.38
389,1,0.187,0.38
390,1,0.394,0.43
391,1,0.44,0.54
392,0.85,0.393,0.65
393,0.39,0.172,0.66
394,0.25,0.119,0.67
395,0.25,0.119,0.69
396,0.25,0.119,0.7
397,0.25,0.119,0.69
398,0.25,0.119,0.66
399,0.25,0.119,0.65
400,0.25,0.206,0.68
401,0.3,0.439,0.8
402,0.52,0.616,1
403,0.87,0.829,1
404,0.87,0.986,0.93
405,0.87,1,0.89
406,1,0.692,0.85
407,1,0.384,0.71
408,1,0.16,0.58
409,1,0.067,0.45
410,1,0.067,0.41
411,1,0.067,0.39
412,1,0.067,0.38
413,1,0.187,0.38
414,1,0.394,0.43
415,1,0.44,0.54
416,0.85,0.393,0.65
417,0.39,0.172,0.66
418,0.25,0.119,0.67
419,0.25,0.119,0.69
420,0.25,0.119,0.7
421,0.25,0.119,0.69
422,0.25,0.119,0.66
423,0.25,0.119,0.65
424,0.25,0.206,0.68
425,0.3,0.439,0.8
