Sequence,RES_OCC_SCH,RES_LIGHT_SCH,RES_EQP_SCH
1061,1,0.187,0.38
1062,1,0.394,0.43
1063,1,0.44,0.54
1064,0.85,0.393,0.65
1065,0.39,0.172,0.66
1066,0.25,0.119,0.67
1067,0.25,0.119,0.69
1068,0.25,0.119,0.7
1069,0.25,0.119,0.69
1070,0.25,0.119,0.66
1071,0.25,0.119,0.65
1072,0.25,0.206,0.68
1073,0.3,0.439,0.8
1074,0.52,0.616,1
1075,0.87,0.829,1
1076,0.87,0.986,0.93
1077,0.87,1,0.89
1078,1,0.692,0.85
1079,1,0.384,0.71
1080,1,0.16,0.58
1081,1,0.067,0.45
1082,1,0.067,0.41
1083,1,0.067,0.39
1084,1,0.067,0.38
1085,1,0.187,0.38
1086,1,0.394,0.43
1087,1,0.44,0.54
1088,0.85,0.393,0.65
1089,0.39,0.172,0.66
1090,0.25,0.119,0.67
1091,0.25,0.119,0.69
1092,0.25,0.119,0.7
1093,0.25,0.119,0.69
1094,0.25,0.119,0.66
1095,0.25,0.119,0.65
1096,0.25,0.206,0.68
1097,0.3,0.439,0.8
1098,0.52,0.616,1
1099,0.87,0.829,1
1100,0.87,0.986,0.93
1101,0.87,1,0.89
1102,1,0.692,0.85
1103,1,0.384,0.71
1104,1,0.16,0.58
1105,1,0.067,0.45
1106,1,0.067,0.41
1107,1,0.067,0.39
1108,1,0.067,0.38
1109,1,0.187,0.38
1110,1,0.394,0.43
1111,1,0.44,0.54
1112,0.85,0.393,0.65
1113,0.39,0.172,0.66
1114,0.25,0.119,0.67
1115,0.25,0.119,0.69
1116,0.25,0.119,0.7
1117,0.25,0.119,0.69
1118,0.25,0.119,0.66
1119,0.25,0.119,0.65
1120,0.25,0.206,0.68
1121,0.3,0.439,0.8
1122,0.52,0.616,1
1123,0.87,0.829,1
1124,0.87,0.986,0.93
1125,0.87,1,0.89
1126,1,0.692,0.85
1127,1,0.384,0.71
1128,1,0.16,0.58
1129,1,0.067,0.45
1130,1,0.067,0.41
1131,1,0.067,0.39
1132,1,0.067,0.38
1133,1,0.187,0.38
1134,1,0.394,0.43
1135,1,0.44,0.54
1136,0.85,0.393,0.65
1137,0.39,0.172,0.66
1138,0.25,0.119,0.67
1139,0.25,0.119,0.69
1140,0.25,0.119,0.7
1141,0.25,0.119,0.69
1142,0.25,0.119,0.66
1143,0.25,0.119,0.65
1144,0.25,0.206,0.68
1145,0.3,0.439,0.8
1146,0.52,0.616,1
1147,0.87,0.829,1
1148,0.87,0.986,0.93
1149,0.87,1,0.89
1150,1,0.692,0.85
1151,1,0.384,0.71
1152,1,0.16,0.58
1153,1,0.067,0.45
1154,1,0.067,0.41
1155,1,0.067,0.39
1156,1,0.067,0.38
1157,1,0.187,0.38
1158,1,0.394,0.43
1159,1,0.44,0.54
1160,0.85,0.393,0.65
1161,0.39,0.172,0.66
1162,0.25,0.119,0.67
1163,0.25,0.119,0.69
1164,0.25,0.119,0.7
1165,0.25,0.119,0.69
1166,0.25,0.119,0.66
1167,0.25,0.119,0.65
1168,0.25,0.206,0.68
1169,0.3,0.439,0.8
1170,0.52,0.616,1
1171,0.87,0.829,1
1172,0.87,0.986,0.93
1173,0.87,1,0.89
1174,1,0.692,0.85
1175,1,0.384,0.71
1176,1,0.16,0.58
1177,1,0.067,0.45
1178,1,0.067,0.41
1179,1,0.067,0.39
1180,1,0.067,0.38
1181,1,0.187,0.38
1182,1,0.394,0.43
1183,1,0.44,0.54
1184,0.85,0.393,0.65
1185,0.39,0.172,0.66
1186,0.25,0.119,0.67
1187,0.25,0.119,0.69
1188,0.25,0.119,0.7
1189,0.25,0.119,0.69
1190,0.25,0.119,0.66
1191,0.25,0.119,0.65
1192,0.25,0.206,0.68
1193,0.3,0.439,0.8
1194,0.52,0.616,1
1195,0.87,0.829,1
1196,0.87,0.986,0.93
1197,0.87,1,0.89
1198,1,0.692,0.85
1199,1,0.384,0.71
1200,1,0.16,0.58
1201,1,0.067,0.45
1202,1,0.067,0.41
1203,1,0.067,0.39
1204,1,0.067,0.38
1205,1,0.187,0.38
1206,1,0.394,0.43
1207,1,0.44,0.54
1208,0.85,0.393,0.65
1209,0.39,0.172,0.66
1210,0.25,0.119,0.67
1211,0.25,0.119,0.69
1212,0.25,0.119,0.7
1213,0.25,0.119,0.69
1214,0.25,0.119,0.66
1215,0.25,0.119,0.65
1216,0.25,0.206,0.68
1217,0.3,0.439,0.8
1218,0.52,0.616,1
1219,0.87,0.829,1
1220,0.87,0.986,0.93
1221,0.87,1,0.89
1222,1,0.692,0.85
1223,1,0.384,0.71
1224,1,0.16,0.58
1225,1,0.067,0.45
1226,1,0.067,0.41
1227,1,0.067,0.39
1228,1,0.067,0.38
1229,1,0.187,0.38
1230,1,0.394,0.43
1231,1,0.44,0.54
1232,0.85,0.393,0.65
1233,0.39,0.172,0.66
1234,0.25,0.119,0.67
1235,0.25,0.119,0.69
1236,0.25,0.119,0.7
1237,0.25,0.119,0.69
1238,0.25,0.119,0.66
1239,0.25,0.119,0.65
1240,0.25,0.206,0.68
1241,0.3,0.439,0.8
1242,0.52,0.616,1
1243,0.87,0.829,1
1244,0.87,0.986,0.93
1245,0.87,1,0.89
1246,1,0.692,0.85
1247,1,0.384,0.71
1248,1,0.16,0.58
1249,1,0.067,0.45
1250,1,0.067,0.41
1251,1,0.067,0.39
1252,1,0.067,0.38
1253,1,0.187,0.38
1254,1,0.394,0.43
1255,1,0.44,0.54
1256,0.85,0.393,0.65
1257,0.39,0.172,0.66
1258,0.25,0.119,0.67
1259,0.25,0.119,0.69
1260,0.25,0.119,0.7
1261,0.25,0.119,0.69
1262,0.25,0.119,0.66
1263,0.25,0.119,0.65
1264,0.25,0.206,0.68
1265,0.3,0.439,0.8
1266,0.52,0.616,1
1267,0.87,0.829,1
1268,0.87,0.986,0.93
1269,0.87,1,0.89
1270,1,0.692,0.85
1271,1,0.384,0.71
1272,1,0.16,0.58
1273,1,0.067,0.45
1274,1,0.067,0.41
1275,1,0.067,0.39
1276,1,0.067,0.38
1277,1,0.187,0.38
1278,1,0.394,0.43
1279,1,0.44,0.54
1280,0.85,0.393,0.65
1281,0.39,0.172,0.66
1282,0.25,0.119,0.67
1283,0.25,0.119,0.69
1284,0.25,0.119,0.7
1285,0.25,0.119,0.69
1286,0.25,0.119,0.66
1287,0.25,0.119,0.65
1288,0.25,0.206,0.68
1289,0.3,0.439,0.8
1290,0.52,0.616,1
1291,0.87,0.829,1
1292,0.87,0.986,0.93
1293,0.87,1,0.89
1294,1,0.692,0.85
1295,1,0.384,0.71
1296,1,0.16,0.58
1297,1,0.067,0.45
1298,1,0.067,0.41
1299,1,0.067,0.39
1300,1,0.067,0.38
1301,1,0.187,0.38
1302,1,0.394,0.43
1303,1,0.44,0.54
1304,0.85,0.393,0.65
1305,0.39,0.172,0.66
1306,0.25,0.119,0.67
1307,0.25,0.119,0.69
1308,0.25,0.119,0.7
1309,0.25,0.119,0.69
1310,0.25,0.119,0.66
1311,0.25,0.119,0.65
1312,0.25,0.206,0.68
1313,0.3,0.439,0.8
1314,0.52,0.616,1
1315,0.87,0.829,1
1316,0.87,0.986,0.93
1317,0.87,1,0.89
1318,1,0.692,0.85
1319,1,0.384,0.71
1320,1,0.16,0.58
1321,1,0.067,0.45
1322,1,0.067,0.41
1323,1,0.067,0.39
1324,1,0.067,0.38
1325,1,0.187,0.38
1326,1,0.394,0.43
1327,1,0.44,0.54
1328,0.85,0.393,0.65
1329,0.39,0.172,0.66
1330,0.25,0.119,0.67
1331,0.25,0.119,0.69
1332,0.25,0.119,0.7
1333,0.25,0.119,0.69
1334,0.25,0.119,0.66
1335,0.25,0.119,0.65
1336,0.25,0.206,0.68
1337,0.3,0.439,0.8
1338,0.52,0.616,1
1339,0.87,0.829,1
1340,0.87,0.986,0.93
1341,0.87,1,0.89
1342,1,0.692,0.85
1343,1,0.384,0.71
1344,1,0.16,0.58
1345,1,0.067,0.45
1346,1,0.067,0.41
1347,1,0.067,0.39
1348,1,0.067,0.38
1349,1,0.187,0.38
1350,1,0.394,0.43
1351,1,0.44,0.54
1352,0.85,0.393,0.65
1353,0.39,0.172,0.66
1354,0.25,0.119,0.67
1355,0.25,0.119,0.69
1356,0.25,0.119,0.7
1357,0.25,0.119,0.69
1358,0.25,0.119,0.66
1359,0.25,0.119,0.65
1360,0.25,0.206,0.68
1361,0.3,0.439,0.8
1362,0.52,0.616,1
1363,0.87,0.829,1
1364,0.87,0.986,0.93
1365,0.87,1,0.89
1366,1,0.692,0.85
1367,1,0.384,0.71
1368,1,0.16,0.58
1369,1,0.067,0.45
1370,1,0.067,0.41
1371,1,0.067,0.39
1372,1,0.067,0.38
1373,1,0.187,0.38
1374,1,0.394,0.43
1375,1,0.44,0.54
1376,0.85,0.393,0.65
1377,0.39,0.172,0.66
1378,0.25,0.119,0.67
1379,0.25,0.119,0.69
1380,0.25,0.119,0.7
1381,0.25,0.119,0.69
1382,0.25,0.119,0.66
1383,0.25,0.119,0.65
1384,0.25,0.206,0.68
1385,0.3,0.439,0.8
1386,0.52,0.616,1
1387,0.87,0.829,1
1388,0.87,0.986,0.93
1389,0.87,1,0.89
1390,1,0.692,0.85
1391,1,0.384,0.71
1392,1,0.16,0.58
1393,1,0.067,0.45
1394,1,0.067,0.41
1395,1,0.067,0.39
1396,1,0.067,0.38
1397,1,0.187,0.38
1398,1,0.394,0.43
1399,1,0.44,0.54
1400,0.85,0.393,0.65
1401,0.39,0.172,0.66
1402,0.25,0.119,0.67
1403,0.25,0.119,0.69
1404,0.25,0.119,0.7
1405,0.25,0.119,0.69
1406,0.25,0.119,0.66
1407,0.25,0.119,0.65
1408,0.25,0.206,0.68
1409,0.3,0.439,0.8
1410,0.52,0.616,1
1411,0.87,0.829,1
1412,0.87,0.986,0.93
1413,0.87,1,0.89
1414,1,0.692,0.85
1415,1,0.384,0.71
1416,1,0.16,0.58
1417,1,0.067,0.45
1418,1,0.067,0.41
1419,1,0.067,0.39
1420,1,0.067,0.38
1421,1,0.187,0.38
1422,1,0.394,0.43
1423,1,0.44,0.54
1424,0.85,0.393,0.65
1425,0.39,0.172,0.66
1426,0.25,0.119,0.67
1427,0.25,0.119,0.69
1428,0.25,0.119,0.7
1429,0.25,0.119,0.69
1430,0.25,0.119,0.66
1431,0.25,0.119,0.65
1432,0.25,0.206,0.68
1433,0.3,0.439,0.8
1434,0.52,0.616,1
1435,0.87,0.829,1
1436,0.87,0.986,0.93
1437,0.87,1,0.89
1438,1,0.692,0.85
1439,1,0.384,0.71
1440,1,0.16,0.58
1441,1,0.067,0.45
1442,1,0.067,0.41
1443,1,0.067,0.39
1444,1,0.067,0.38
1445,1,0.187,0.38
1446,1,0.394,0.43
1447,1,0.44,0.54
1448,0.85,0.393,0.65
1449,0.39,0.172,0.66
1450,0.25,0.119,0.67
1451,0.25,0.119,0.69
1452,0.25,0.119,0.7
1453,0.25,0.119,0.69
1454,0.25,0.119,0.66
1455,0.25,0.119,0.65
1456,0.25,0.206,0.68
1457,0.3,0.439,0.8
1458,0.52,0.616,1
1459,0.87,0.829,1
1460,0.87,0.986,0.93
1461,0.87,1,0.89
1462,1,0.692,0.85
1463,1,0.384,0.71
1464,1,0.16,0.58
1465,1,0.067,0.45
1466,1,0.067,0.41
1467,1,0.067,0.39
1468,1,0.067,0.38
1469,1,0.187,0.38
1470,1,0.394,0.43
1471,1,0.44,0.54
1472,0.85,0.393,0.65
1473,0.39,0.172,0.66
1474,0.25,0.119,0.67
1475,0.25,0.119,0.69
1476,0.25,0.119,0.7
1477,0.25,0.119,0.69
1478,0.25,0.119,0.66
1479,0.25,0.119,0.65
1480,0.25,0.206,0.68
1481,0.3,0.439,0.8
1482,0.52,0.616,1
1483,0.87,0.829,1
1484,0.87,0.986,0.93
1485,0.87,1,0.89
1486,1,0.692,0.85
1487,1,0.384,0.71
1488,1,0.16,0.58
1489,1,0.067,0.45
1490,1,0.067,0.41
1491,1,0.067,0.39
1492,1,0.067,0.38
1493,1,0.187,0.38
1494,1,0.394,0.43
1495,1,0.44,0.54
1496,0.85,0.393,0.65
1497,0.39,0.172,0.66
1498,0.25,0.119,0.67
1499,0.25,0.119,0.69
1500,0.25,0.119,0.7
1501,0.25,0.119,0.69
1502,0.25,0.119,0.66
1503,0.25,0.119,0.65
1504,0.25,0.206,0.68
1505,0.3,0.439,0.8
1506,0.52,0.616,1
1507,0.87,0.829,1
1508,0.87,0.986,0.93
1509,0.87,1,0.89
1510,1,0.692,0.85
1511,1,0.384,0.71
1512,1,0.16,0.58
1513,1,0.067,0.45
1514,1,0.067,0.41
1515,1,0.067,0.39
1516,1,0.067,0.38
1517,1,0.187,0.38
1518,1,0.394,0.43
1519,1,0.44,0.54
1520,0.85,0.393,0.65
1521,0.39,0.172,0.66
1522,0.25,0.119,0.67
1523,0.25,0.119,0.69
1524,0.25,0.119,0.7
1525,0.25,0.119,0.69
1526,0.25,0.119,0.66
1527,0.25,0.119,0.65
1528,0.25,0.206,0.68
1529,0.3,0.439,0.8
1530,0.52,0.616,1
1531,0.87,0.829,1
1532,0.87,0.986,0.93
1533,0.87,1,0.89
1534,1,0.692,0.85
1535,1,0.384,0.71
1536,1,0.16,0.58
1537,1,0.067,0.45
1538,1,0.067,0.41
1539,1,0.067,0.39
1540,1,0.067,0.38
1541,1,0.187,0.38
1542,1,0.394,0.43
1543,1,0.44,0.54
1544,0.85,0.393,0.65
1545,0.39,0.172,0.66
1546,0.25,0.119,0.67
1547,0.25,0.119,0.69
1548,0.25,0.119,0.7
1549,0.25,0.119,0.69
1550,0.25,0.119,0.66
1551,0.25,0.119,0.65
1552,0.25,0.206,0.68
1553,0.3,0.439,0.8
1554,0.52,0.616,1
1555,0.87,0.829,1
1556,0.87,0.986,0.93
1557,0.87,1,0.89
1558,1,0.692,0.85
1559,1,0.384,0.71
1560,1,0.16,0.58
1561,1,0.067,0.45
1562,1,0.067,0.41
1563,1,0.067,0.39
1564,1,0.067,0.38
1565,1,0.187,0.38
1566,1,0.394,0.43
1567,1,0.44,0.54
1568,0.85,0.393,0.65
1569,0.39,0.172,0.66
1570,0.25,0.119,0.67
1571,0.25,0.119,0.69
1572,0.25,0.119,0.7
1573,0.25,0.119,0.69
1574,0.25,0.119,0.66
1575,0.25,0.119,0.65
1576,0.25,0.206,0.68
1577,0.3,0.439,0.8
1578,0.52,0.616,1
1579,0.87,0.829,1
1580,0.87,0.986,0.93
1581,0.87,1,0.89
1582,1,0.692,0.85
1583,1,0.384,0.71
1584,1,0.16,0.58
1585,1,0.067,0.45
1586,1,0.067,0.41
1587,1,0.067,0.39
1588,1,0.067,0.38
1589,1,0.187,0.38
1590,1,0.394,0.43
1591,1,0.44,0.54
1592,0.85,0.393,0.65
1593,0.39,0.172,0.66
1594,0.25,0.119,0.67
1595,0.25,0.119,0.69
1596,0.25,0.119,0.7
1597,0.25,0.119,0.69
1598,0.25,0.119,0.66
1599,0.25,0.119,0.65
1600,0.25,0.206,0.68
1601,0.3,0.439,0.8
1602,0.52,0.616,1
1603,0.87,0.829,1
1604,0.87,0.986,0.93
1605,0.87,1,0.89
1606,1,0.692,0.85
1607,1,0.384,0.71
1608,1,0.16,0.58
1609,1,0.067,0.45
1610,1,0.067,0.41
1611,1,0.067,0.39
1612,1,0.067,0.38
1613,1,0.187,0.38
1614,1,0.394,0.43
1615,1,0.44,0.54
1616,0.85,0.393,0.65
1617,0.39,0.172,0.66
1618,0.25,0.119,0.67
1619,0.25,0.119,0.69
1620,0.25,0.119,0.7
1621,0.25,0.119,0.69
1622,0.25,0.119,0.66
1623,0.25,0.119,0.65
1624,0.25,0.206,0.68
1625,0.3,0.439,0.8
1626,0.52,0.616,1
1627,0.87,0.829,1
1628,0.87,0.986,0.93
1629,0.87,1,0.89
1630,1,0.692,0.85
1631,1,0.384,0.71
1632,1,0.16,0.58
1633,1,0.067,0.45
1634,1,0.067,0.41
1635,1,0.067,0.39
1636,1,0.067,0.38
1637,1,0.187,0.38
1638,1,0.394,0.43
1639,1,0.44,0.54
1640,0.85,0.393,0.65
1641,0.39,0.172,0.66
1642,0.25,0.119,0.67
1643,0.25,0.119,0.69
1644,0.25,0.119,0.7
1645,0.25,0.119,0.69
1646,0.25,0.119,0.66
1647,0.25,0.119,0.65
1648,0.25,0.206,0.68
1649,0.3,0.439,0.8
1650,0.52,0.616,1
1651,0.87,0.829,1
1652,0.87,0.986,0.93
1653,0.87,1,0.89
1654,1,0.692,0.85
1655,1,0.384,0.71
1656,1,0.16,0.58
1657,1,0.067,0.45
1658,1,0.067,0.41
1659,1,0.067,0.39
1660,1,0.067,0.38
1661,1,0.187,0.38
1662,1,0.394,0.43
1663,1,0.44,0.54
1664,0.85,0.393,0.65
1665,0.39,0.172,0.66
1666,0.25,0.119,0.67
1667,0.25,0.119,0.69
1668,0.25,0.119,0.7
1669,0.25,0.119,0.69
1670,0.25,0.119,0.66
1671,0.25,0.119,0.65
1672,0.25,0.206,0.68
1673,0.3,0.439,0.8
1674,0.52,0.616,1
1675,0.87,0.829,1
1676,0.87,0.986,0.93
1677,0.87,1,0.89
1678,1,0.692,0.85
1679,1,0.384,0.71
1680,1,0.16,0.58
1681,1,0.067,0.45
1682,1,0.067,0.41
1683,1,0.067,0.39
1684,1,0.067,0.38
1685,1,0.187,0.38
1686,1,0.394,0.43
1687,1,0.44,0.54
1688,0.85,0.393,0.65
1689,0.39,0.172,0.66
1690,0.25,0.119,0.67
1691,0.25,0.119,0.69
1692,0.25,0.119,0.7
1693,0.25,0.119,0.69
1694,0.25,0.119,0.66
1695,0.25,0.119,0.65
1696,0.25,0.206,0.68
1697,0.3,0.439,0.8
1698,0.52,0.616,1
1699,0.87,0.829,1
1700,0.87,0.986,0.93
1701,0.87,1,0.89
1702,1,0.692,0.85
1703,1,0.384,0.71
1704,1,0.16,0.58
1705,1,0.067,0.45
1706,1,0.067,0.41
1707,1,0.067,0.39
1708,1,0.067,0.38
1709,1,0.187,0.38
1710,1,0.394,0.43
1711,1,0.44,0.54
1712,0.85,0.393,0.65
1713,0.39,0.172,0.66
1714,0.25,0.119,0.67
1715,0.25,0.119,0.69
1716,0.25,0.119,0.7
1717,0.25,0.119,0.69
1718,0.25,0.119,0.66
1719,0.25,0.119,0.65
1720,0.25,0.206,0.68
1721,0.3,0.439,0.8
1722,0.52,0.616,1
1723,0.87,0.829,1
1724,0.87,0.986,0.93
1725,0.87,1,0.89
1726,1,0.692,0.85
1727,1,0.384,0.71
1728,1,0.16,0.58
1729,1,0.067,0.45
1730,1,0.067,0.41
1731,1,0.067,0.39
1732,1,0.067,0.38
1733,1,0.187,0.38
1734,1,0.394,0.43
1735,1,0.44,0.54
1736,0.85,0.393,0.65
1737,0.39,0.172,0.66
1738,0.25,0.119,0.67
1739,0.25,0.119,0.69
1740,0.25,0.119,0.7
1741,0.25,0.119,0.69
1742,0.25,0.119,0.66
1743,0.25,0.119,0.65
1744,0.25,0.206,0.68
1745,0.3,0.439,0.8
1746,0.52,0.616,1
1747,0.87,0.829,1
1748,0.87,0.986,0.93
1749,0.87,1,0.89
1750,1,0.692,0.85
1751,1,0.384,0.71
1752,1,0.16,0.58
1753,1,0.067,0.45
1754,1,0.067,0.41
1755,1,0.067,0.39
1756,1,0.067,0.38
1757,1,0.187,0.38
1758,1,0.394,0.43
1759,1,0.44,0.54
1760,0.85,0.393,0.65
1761,0.39,0.172,0.66
1762,0.25,0.119,0.67
1763,0.25,0.119,0.69
1764,0.25,0.119,0.7
1765,0.25,0.119,0.69
1766,0.25,0.119,0.66
1767,0.25,0.119,0.65
1768,0.25,0.206,0.68
1769,0.3,0.439,0.8
1770,0.52,0.616,1
1771,0.87,0.829,1
1772,0.87,0.986,0.93
1773,0.87,1,0.89
1774,1,0.692,0.85
1775,1,0.384,0.71
1776,1,0.16,0.58
1777,1,0.067,0.45
1778,1,0.067,0.41
1779,1,0.067,0.39
1780,1,0.067,0.38
1781,1,0.187,0.38
1782,1,0.394,0.43
1783,1,0.44,0.54
1784,0.85,0.393,0.65
1785,0.39,0.172,0.66
1786,0.25,0.119,0.67
1787,0.25,0.119,0.69
1788,0.25,0.119,0.7
1789,0.25,0.119,0.69
1790,0.25,0.119,0.66
1791,0.25,0.119,0.65
1792,0.25,0.206,0.68
1793,0.3,0.439,0.8
1794,0.52,0.616,1
1795,0.87,0.829,1
1796,0.87,0.986,0.93
1797,0.87,1,0.89
1798,1,0.692,0.85
1799,1,0.384,0.71
1800,1,0.16,0.58
1801,1,0.067,0.45
1802,1,0.067,0.41
1803,1,0.067,0.39
1804,1,0.067,0.38
1805,1,0.187,0.38
1806,1,0.394,0.43
1807,1,0.44,0.54
1808,0.85,0.393,0.65
1809,0.39,0.172,0.66
1810,0.25,0.119,0.67
1811,0.25,0.119,0.69
1812,0.25,0.119,0.7
1813,0.25,0.119,0.69
1814,0.25,0.119,0.66
1815,0.25,0.119,0.65
1816,0.25,0.206,0.68
1817,0.3,0.439,0.8
1818,0.52,0.616,1
1819,0.87,0.829,1
1820,0.87,0.986,0.93
1821,0.87,1,0.89
1822,1,0.692,0.85
1823,1,0.384,0.71
1824,1,0.16,0.58
1825,1,0.067,0.45
1826,1,0.067,0.41
1827,1,0.067,0.39
1828,1,0.067,0.38
1829,1,0.187,0.38
1830,1,0.394,0.43
1831,1,0.44,0.54
1832,0.85,0.393,0.65
1833,0.39,0.172,0.66
1834,0.25,0.119,0.67
1835,0.25,0.119,0.69
1836,0.25,0.119,0.7
1837,0.25,0.119,0.69
1838,0.25,0.119,0.66
1839,0.25,0.119,0.65
1840,0.25,0.206,0.68
1841,0.3,0.439,0.8
1842,0.52,0.616,1
1843,0.87,0.829,1
1844,0.87,0.986,0.93
1845,0.87,1,0.89
1846,1,0.692,0.85
1847,1,0.384,0.71
1848,1,0.16,0.58
1849,1,0.067,0.45
1850,1,0.067,0.41
1851,1,0.067,0.39
1852,1,0.067,0.38
1853,1,0.187,0.38
1854,1,0.394,0.43
1855,1,0.44,0.54
1856,0.85,0.393,0.65
1857,0.39,0.172,0.66
1858,0.25,0.119,0.67
1859,0.25,0.119,0.69
1860,0.25,0.119,0.7
1861,0.25,0.119,0.69
1862,0.25,0.119,0.66
1863,0.25,0.119,0.65
1864,0.25,0.206,0.68
1865,0.3,0.439,0.8
1866,0.52,0.616,1
1867,0.87,0.829,1
1868,0.87,0.986,0.93
1869,0.87,1,0.89
1870,1,0.692,0.85
1871,1,0.384,0.71
1872,1,0.16,0.58
1873,1,0.067,0.45
1874,1,0.067,0.41
1875,1,0.067,0.39
1876,1,0.067,0.38
1877,1,0.187,0.38
1878,1,0.394,0.43
1879,1,0.44,0.54
1880,0.85,0.393,0.65
1881,0.39,0.172,0.66
1882,0.25,0.119,0.67
1883,0.25,0.119,0.69
1884,0.25,0.119,0.7
1885,0.25,0.119,0.69
1886,0.25,0.119,0.66
1887,0.25,0.119,0.65
1888,0.25,0.206,0.68
1889,0.3,0.439,0.8
1890,0.52,0.616,1
1891,0.87,0.829,1
1892,0.87,0.986,0.93
1893,0.87,1,0.89
1894,1,0.692,0.85
1895,1,0.384,0.71
1896,1,0.16,0.58
1897,1,0.067,0.45
1898,1,0.067,0.41
1899,1,0.067,0.39
1900,1,0.067,0.38
1901,1,0.187,0.38
1902,1,0.394,0.43
1903,1,0.44,0.54
1904,0.85,0.393,0.65
1905,0.39,0.172,0.66
1906,0.25,0.119,0.67
1907,0.25,0.119,0.69
1908,0.25,0.119,0.7
1909,0.25,0.119,0.69
1910,0.25,0.119,0.66
1911,0.25,0.119,0.65
1912,0.25,0.206,0.68
1913,0.3,0.439,0.8
1914,0.52,0.616,1
1915,0.87,0.829,1
1916,0.87,0.986,0.93
1917,0.87,1,0.89
1918,1,0.692,0.85
1919,1,0.384,0.71
1920,1,0.16,0.58
1921,1,0.067,0.45
1922,1,0.067,0.41
1923,1,0.067,0.39
1924,1,0.067,0.38
1925,1,0.187,0.38
1926,1,0.394,0.43
1927,1,0.44,0.54
1928,0.85,0.393,0.65
1929,0.39,0.172,0.66
1930,0.25,0.119,0.67
1931,0.25,0.119,0.69
1932,0.25,0.119,0.7
1933,0.25,0.119,0.69
1934,0.25,0.119,0.66
1935,0.25,0.119,0.65
1936,0.25,0.206,0.68
1937,0.3,0.439,0.8
1938,0.52,0.616,1
1939,0.87,0.829,1
1940,0.87,0.986,0.93
1941,0.87,1,0.89
1942,1,0.692,0.85
1943,1,0.384,0.71
1944,1,0.16,0.58
1945,1,0.067,0.45
1946,1,0.067,0.41
1947,1,0.067,0.39
1948,1,0.067,0.38
1949,1,0.187,0.38
1950,1,0.394,0.43
1951,1,0.44,0.54
1952,0.85,0.393,0.65
1953,0.39,0.172,0.66
1954,0.25,0.119,0.67
1955,0.25,0.119,0.69
1956,0.25,0.119,0.7
1957,0.25,0.119,0.69
1958,0.25,0.119,0.66
1959,0.25,0.119,0.65
1960,0.25,0.206,0.68
1961,0.3,0.439,0.8
1962,0.52,0.616,1
1963,0.87,0.829,1
1964,0.87,0.986,0.93
1965,0.87,1,0.89
1966,1,0.692,0.85
1967,1,0.384,0.71
1968,1,0.16,0.58
1969,1,0.067,0.45
1970,1,0.067,0.41
1971,1,0.067,0.39
1972,1,0.067,0.38
1973,1,0.187,0.38
1974,1,0.394,0.43
1975,1,0.44,0.54
1976,0.85,0.393,0.65
1977,0.39,0.172,0.66
1978,0.25,0.119,0.67
1979,0.25,0.119,0.69
1980,0.25,0.119,0.7
1981,0.25,0.119,0.69
1982,0.25,0.119,0.66
1983,0.25,0.119,0.65
1984,0.25,0.206,0.68
1985,0.3,0.439,0.8
1986,0.52,0.616,1
1987,0.87,0.829,1
1988,0.87,0.986,0.93
1989,0.87,1,0.89
1990,1,0.692,0.85
1991,1,0.384,0.71
1992,1,0.16,0.58
1993,1,0.067,0.45
1994,1,0.067,0.41
1995,1,0.067,0.39
1996,1,0.067,0.38
1997,1,0.187,0.38
1998,1,0.394,0.43
1999,1,0.44,0.54
2000,0.85,0.393,0.65
2001,0.39,0.172,0.66
2002,0.25,0.119,0.67
2003,0.25,0.119,0.69
2004,0.25,0.119,0.7
2005,0.25,0.119,0.69
2006,0.25,0.119,0.66
2007,0.25,0.119,0.65
2008,0.25,0.206,0.68
2009,0.3,0.439,0.8
2010,0.52,0.616,1
2011,0.87,0.829,1
2012,0.87,0.986,0.93
2013,0.87,1,0.89
2014,1,0.692,0.85
2015,1,0.384,0.71
2016,1,0.16,0.58
2017,1,0.067,0.45
2018,1,0.067,0.41
2019,1,0.067,0.39
2020,1,0.067,0.38
2021,1,0.187,0.38
2022,1,0.394,0.43
2023,1,0.44,0.54
2024,0.85,0.393,0.65
2025,0.39,0.172,0.66
2026,0.25,0.119,0.67
2027,0.25,0.119,0.69
2028,0.25,0.119,0.7
2029,0.25,0.119,0.69
2030,0.25,0.119,0.66
2031,0.25,0.119,0.65
2032,0.25,0.206,0.68
2033,0.3,0.439,0.8
2034,0.52,0.616,1
2035,0.87,0.829,1
2036,0.87,0.986,0.93
2037,0.87,1,0.89
2038,1,0.692,0.85
2039,1,0.384,0.71
2040,1,0.16,0.58
2041,1,0.067,0.45
2042,1,0.067,0.41
2043,1,0.067,0.39
2044,1,0.067,0.38
2045,1,0.187,0.38
2046,1,0.394,0.43
2047,1,0.44,0.54
2048,0.85,0.393,0.65
2049,0.39,0.172,0.66
2050,0.25,0.119,0.67
2051,0.25,0.119,0.69
2052,0.25,0.119,0.7
2053,0.25,0.119,0.69
2054,0.25,0.119,0.66
2055,0.25,0.119,0.65
2056,0.25,0.206,0.68
2057,0.3,0.439,0.8
2058,0.52,0.616,1
2059,0.87,0.829,1
2060,0.87,0.986,0.93
2061,0.87,1,0.89
2062,1,0.692,0.85
